"Measure code","SEX","YES_NO","COUNTRY_REGION","YEAR","VALUE"
"HFA_639","MALE","","SMALL","2008","14.7490387"
"HFA_639","MALE","","SMALL","2009","19.52322854"
"HFA_639","MALE","","SMALL","2010","20.02422977"
"HFA_639","MALE","","SMALL","2011","21.24919489"
"HFA_639","MALE","","SMALL","2012","25.74364014"
"HFA_639","MALE","","SMALL","2013","28.76834252"
"HFA_639","MALE","","SMALL","2014","27.43355838"
"HFA_639","MALE","","SMALL","2015","25.82385856"
"HFA_639","MALE","","SMALL","2016","22.23163445"
"HFA_639","MALE","","SRB","1991","28.04299927"
"HFA_639","MALE","","SRB","1992","28.54000092"
"HFA_639","MALE","","SRB","1993","29.29199982"
"HFA_639","MALE","","SRB","1994","28.70599937"
"HFA_639","MALE","","SRB","1995","28.54000092"
"HFA_639","MALE","","SRB","1996","28.60499954"
"HFA_639","MALE","","SRB","1997","30.36700058"
"HFA_639","MALE","","SRB","1998","30.04899979"
"HFA_639","MALE","","SRB","1999","29.93099976"
"HFA_639","MALE","","SRB","2000","27.87199974"
"HFA_639","MALE","","SRB","2001","28.62199974"
"HFA_639","MALE","","SRB","2002","31.35000038"
"HFA_639","MALE","","SRB","2003","35.5929985"
"HFA_639","MALE","","SRB","2004","38.96500015"
"HFA_639","MALE","","SRB","2005","43.24900055"
"HFA_639","MALE","","SRB","2006","42.59700012"
"HFA_639","MALE","","SRB","2007","39.89199829"
"HFA_639","MALE","","SRB","2008","30.32699966"
"HFA_639","MALE","","SRB","2009","38.49900055"
"HFA_639","MALE","","SRB","2010","44.77999878"
"HFA_639","MALE","","SRB","2011","47.05099869"
"HFA_639","MALE","","SRB","2012","47.32899857"
"HFA_639","MALE","","SRB","2013","43.89699936"
"HFA_639","MALE","","SRB","2014","45.22800064"
"HFA_639","MALE","","SRB","2015","39.41600037"
"HFA_639","MALE","","SRB","2016","31.6970005"
"HFA_639","MALE","","SRB","2017","28.74099922"
"HFA_639","MALE","","SRB","2018","30.1079998"
"HFA_639","MALE","","SRB","2019","30.74500084"
"HFA_639","MALE","","SVK","1991","25.41699982"
"HFA_639","MALE","","SVK","1992","25.68799973"
"HFA_639","MALE","","SVK","1993","26.53100014"
"HFA_639","MALE","","SVK","1994","27.85099983"
"HFA_639","MALE","","SVK","1995","25.9470005"
"HFA_639","MALE","","SVK","1996","20.55500031"
"HFA_639","MALE","","SVK","1997","22.53700066"
"HFA_639","MALE","","SVK","1998","25.09700012"
"HFA_639","MALE","","SVK","1999","32.76800156"
"HFA_639","MALE","","SVK","2000","39.61299896"
"HFA_639","MALE","","SVK","2001","42.04199982"
"HFA_639","MALE","","SVK","2002","38.64199829"
"HFA_639","MALE","","SVK","2003","34.79499817"
"HFA_639","MALE","","SVK","2004","34.81600189"
"HFA_639","MALE","","SVK","2005","31.0720005"
